t,segment,target,sample,alarm,j0,j1,j2,j3,j4,j5,x,y,z,a,b,c,q_speed_norm_deg_s,tcp_speed_norm_mm_s,sigma_min,sigma_max,condition,manip_6d,manip_trans
1.12056732e-05,baseline_default,Default,0,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,,,,,,,
0.0251142979,baseline_default,Default,1,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,0,0,,,,,
0.0501995087,baseline_default,Default,2,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,1.75182901,3.35878358,,,,,
0.0752980709,baseline_default,Default,3,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,0,0,,,,,
0.101366043,baseline_default,Default,4,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.842873387,1.61604205,,,,,
0.126455069,baseline_default,Default,5,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.139648,222.80559,230.662082,154.671404,126.341203,-2.7705833,125.267087,1.23857001,1.67917468,,,,,
0.151551723,baseline_default,Default,6,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,1.23819349,1.67866421,,,,,
0.176644802,baseline_default,Default,7,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0,0,,,,,
0.201746702,baseline_default,Default,8,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.139648,222.772992,230.688755,154.67051,126.359028,-2.75110427,125.27402,0.875352061,0,,,,,
0.226858854,baseline_default,Default,9,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,1.23740121,1.67755193,,,,,
0.258746386,baseline_default,Default,10,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.139648,222.740385,230.715414,154.669621,126.37685,-2.73162237,125.280949,0.689078117,0,,,,,
0.287592649,baseline_default,Default,11,0,55.041504,32.958984,-138.669434,58.601074,97.822266,13.161621,222.731331,230.629166,154.647319,126.37348,-2.75533734,125.262878,1.31933117,3.10416612,,,,,
0.316533566,baseline_default,Default,12,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.759236506,2.63697777,,,,,
0.344639301,baseline_default,Default,13,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0,0,,,,,
0.372643471,baseline_default,Default,14,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,0.784597452,1.50430954,,,,,
0.404480219,baseline_default,Default,15,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,0,0,,,,,
0.430721998,baseline_default,Default,16,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.837290785,1.60533852,,,,,
