t,segment,command,right_stick_x,right_stick_y,sample,alarm,j0,j1,j2,j3,j4,j5,x,y,z,a,b,c,target_x,target_y,target_z,target_a,target_b,target_c,joint_delta_norm_deg,joint_delta_max_deg,tcp_drift_norm_mm,tcp_drift_x_mm,tcp_drift_y_mm,tcp_drift_z_mm,q_speed_norm_deg_s,tcp_speed_norm_mm_s
1.21593475e-05,baseline_fixed_tcp,center,0,0,0,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,,
0.0251533985,baseline_fixed_tcp,center,0,0,1,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,0.873982378,1.67568735
0.0519530773,baseline_fixed_tcp,center,0,0,2,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,0,0
0.0785496235,baseline_fixed_tcp,center,0,0,3,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310738075,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,1.65228221,3.16792239
0.10378933,baseline_fixed_tcp,center,0,0,4,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.183594,222.80559,230.662082,154.671404,126.361489,-2.81951164,125.289483,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0380583524,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.94662438,3.33822406
0.134029627,baseline_fixed_tcp,center,0,0,5,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,1.02758628,1.39313632
0.159262419,baseline_fixed_tcp,center,0,0,6,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.870811287,0
0.184415102,baseline_fixed_tcp,center,0,0,7,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310738075,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,1.23540726,1.67484871
0.21458602,baseline_fixed_tcp,center,0,0,8,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.139648,222.740385,230.715414,154.669621,126.37685,-2.73162237,125.280949,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0380577751,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,0.728284116,0
0.239681959,baseline_fixed_tcp,center,0,0,9,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.12298681,0.0884857932,-0.0854167427,0,1.95779378,1.67863566
0.264909506,baseline_fixed_tcp,center,0,0,10,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.23176918,1.66995455
0.294401169,baseline_fixed_tcp,center,0,0,11,0,55.041504,32.958984,-138.669434,58.623047,97.822266,13.183594,222.76393,230.602494,154.648214,126.365789,-2.79927665,125.267152,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.043946,0.021973,0.190469048,0.079423647,-0.171677716,-0.0222958379,1.05367116,2.58770944
0.31952095,baseline_fixed_tcp,center,0,0,12,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.23705354,3.03807797
0.344637632,baseline_fixed_tcp,center,0,0,13,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.139648,222.772992,230.688755,154.67051,126.359028,-2.75110427,125.27402,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.12298681,0.0884857932,-0.0854167427,0,1.23720619,1.67732571
0.372426987,baseline_fixed_tcp,center,0,0,14,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.790698472,0
0.397543907,baseline_fixed_tcp,center,0,0,15,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.139648,222.80559,230.662082,154.671404,126.341203,-2.7705833,125.267087,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0380583524,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.23719445,1.67730978
0.42270422,baseline_fixed_tcp,center,0,0,16,0,55.041504,32.958984,-138.625488,58.601074,97.822266,13.161621,222.814647,230.748336,154.693729,126.364871,-2.79580186,125.307551,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.134696802,0.13014095,-0.0258352009,0.023218612,1.51263432,3.55939422
0.452983379,baseline_fixed_tcp,center,0,0,17,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.02626741,2.95766041
0.478117466,baseline_fixed_tcp,center,0,0,18,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.12298681,0.0884857932,-0.0854167427,0,1.23634947,1.67616421
0.503226757,baseline_fixed_tcp,center,0,0,19,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.8750944,0
0.531701565,baseline_fixed_tcp,center,0,0,20,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.771664561,0
0.556827068,baseline_fixed_tcp,center,0,0,21,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.23677181,1.6767368
0.582019329,baseline_fixed_tcp,center,0,0,22,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.872212313,1.6722936
0.607116461,baseline_fixed_tcp,center,0,0,23,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.139648,222.80559,230.662082,154.671404,126.341203,-2.7705833,125.267087,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0380583524,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,1.23816996,1.67863232
0.632203102,baseline_fixed_tcp,center,0,0,24,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310738075,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,1.9585016,3.35859205
0.657450676,baseline_fixed_tcp,center,0,0,25,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310738075,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,0,0
0.682569981,baseline_fixed_tcp,center,0,0,26,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.12298681,0.0884857932,-0.0854167427,0,1.23704887,1.67707426
0.707723856,baseline_fixed_tcp,center,0,0,27,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.873543329,0
0.73299098,baseline_fixed_tcp,center,0,0,28,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.16500316,0.121083706,-0.112089162,0.000893672202,0.869628053,1.6673388
0.761584044,baseline_fixed_tcp,center,0,0,29,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.768473099,1.4733943
0.791860104,baseline_fixed_tcp,center,0,0,30,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0,0
0.817126751,baseline_fixed_tcp,center,0,0,31,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.139648,222.740385,230.715414,154.669621,126.37685,-2.73162237,125.280949,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0380577751,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,1.22983501,1.66729438
0.84235096,baseline_fixed_tcp,center,0,0,32,0,55.041504,32.958984,-138.669434,58.601074,97.822266,13.161621,222.731331,230.629166,154.647319,126.37348,-2.75533734,125.262878,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.0310745146,0.021973,0.154133249,0.0468255375,-0.145005578,-0.0231907302,1.50877973,3.54990698
0.869459629,baseline_fixed_tcp,center,0,0,33,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.810552513,2.81520836
0.89461565,baseline_fixed_tcp,center,0,0,34,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0,0
0.919848204,baseline_fixed_tcp,center,0,0,35,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0,0
0.926245928,right_stick_up,up,0,1,0,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0,0
0.953474522,right_stick_up,up,0,1,1,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.0310738075,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,0.806945821,1.54715809
0.980719566,right_stick_up,up,0,1,2,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.0310738075,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,0,0
1.0097394,right_stick_up,up,0,1,3,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,0.757137379,1.45166031
1.03498149,right_stick_up,up,0,1,4,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.183594,222.740385,230.715414,154.669621,126.397161,-2.78055789,125.303331,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.0380577751,0.021973,0.0810909934,0.055879443,-0.0587575207,-0.000889276407,1.23103147,1.66891643
1.06158614,right_stick_up,up,0,1,5,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.021973,0.021973,0.12298681,0.0884857932,-0.0854167427,0,1.16798397,1.58344257
1.08676124,right_stick_up,up,0,1,6,0,55.041504,32.958984,-138.647461,58.623047,97.844238,13.161621,222.806063,230.667821,154.695656,126.330314,-2.78903115,125.304198,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.0380577751,0.021973,0.163458842,0.121556888,-0.106350367,0.0251458864,1.23430748,1.84790887
1.11185431,right_stick_up,up,0,1,7,0,55.041504,32.958984,-138.647461,58.623047,97.866211,13.183594,222.806526,230.67356,154.719909,126.319418,-2.80747347,125.341311,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.0581343376,0.043945,0.165685988,0.122020543,-0.100610857,0.0493992815,1.23836995,0.993404516
1.13700104,right_stick_up,up,0,1,8,0,55.041504,32.958984,-138.647461,58.623047,97.888184,13.161621,222.806981,230.6793,154.744163,126.288228,-2.77700106,125.356014,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.072875292,0.065918,0.171537909,0.12247465,-0.0948708949,0.0736527504,1.2357282,0.991285339
1.16208577,right_stick_up,up,0,1,9,0,55.041504,32.958984,-138.647461,58.666992,97.932129,13.183594,222.873025,230.637415,154.794466,126.220598,-2.82830902,125.405122,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.131835833,0.109863,0.263831504,0.188519341,-0.136756707,0.123956135,2.62780011,3.70695255
1.18725491,right_stick_up,up,0,1,10,0,55.063477,32.958984,-138.647461,58.666992,97.976074,13.183594,222.785396,230.734358,154.842971,126.189694,-2.79229182,125.468122,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.168774691,0.153808,0.203732283,0.100890412,-0.0398133187,0.172461205,1.95208254,5.53813528
1.2124691,right_stick_up,up,0,1,11,0,55.063477,32.937012,-138.647461,58.666992,98.02002,13.205566,222.769691,230.722222,154.800695,126.162047,-2.78439246,125.508812,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.214162926,0.197754,0.164022606,0.0851849368,-0.0519494839,0.130185226,2.13458415,1.85226586
1.23761868,right_stick_up,up,0,1,12,0,55.063477,32.937012,-138.647461,58.710938,98.063965,13.227539,222.835611,230.680354,154.851011,126.094343,-2.83556929,125.557869,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.274438439,0.241699,0.253406367,0.151104874,-0.0938172234,0.180500506,2.62105066,3.69380461
1.26277184,right_stick_up,up,0,1,13,0,55.063477,32.937012,-138.647461,58.688965,98.129883,13.249512,222.804127,230.724316,154.922854,126.059083,-2.82243479,125.653699,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.332506606,0.307617,0.283676477,0.119621334,-0.0498556918,0.252343991,2.89726188,3.57483453
1.28800035,right_stick_up,up,0,1,14,0,55.063477,32.915039,-138.625488,58.710938,98.173828,13.249512,222.862442,230.745029,154.904664,125.999028,-2.82972313,125.698438,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.381843871,0.351562,0.295530631,0.177935793,-0.029141816,0.234153714,2.30431206,2.55671747
1.31311369,right_stick_up,up,0,1,15,0,55.085449,32.893066,-138.625488,58.754883,98.261719,13.293457,222.823825,230.776545,154.912684,125.914776,-2.84877688,125.799357,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.489354312,0.439453,0.279398584,0.139318711,0.00237370678,0.242173969,4.46133298,2.01032388
1.33827543,right_stick_up,up,0,1,16,0,55.085449,32.871094,-138.625488,58.798828,98.327637,13.31543,222.873278,230.716846,154.896476,125.830214,-2.87327651,125.851871,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.571711408,0.505371,0.299969462,0.188772045,-0.0573256373,0.225965848,3.3820993,3.14756218
1.36342072,right_stick_up,up,0,1,17,0,55.107422,32.849121,-138.625488,58.820801,98.415527,13.337402,222.801855,230.775122,154.903591,125.75361,-2.848363,125.94848,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.667548787,0.593261,0.260956289,0.117348761,0.000950328344,0.233080565,3.90785797,3.67684556
1.38864541,right_stick_up,up,0,1,18,0,55.107422,32.827148,-138.647461,58.842773,98.481445,13.337402,222.777125,230.682738,154.86337,125.681187,-2.80863913,125.974404,222.684506,230.774171,154.67051,114.887063,-2.46635908,135.725578,0.736984542,0.659179,0.232666014,0.0926188101,-0.091433739,0.192860315,3.01750242,4.11303295
